Date ,Open,High,Low,Close,Change (Pips) ,Change (%) 
"Dec 31, 2020 00:00",0.76876,0.77016,0.76859,0.77008,13.2,+0.17%
"Dec 30, 2020 23:00",0.76846,0.76908,0.76836,0.76875,2.9,+0.04%
"Dec 30, 2020 22:00",0.76855,0.76855,0.76753,0.76844,-1.1,-0.01%
"Dec 30, 2020 21:00",0.76762,0.76864,0.76754,0.76852,9,+0.12%
"Dec 30, 2020 20:00",0.76775,0.76799,0.7675,0.76762,-1.3,-0.02%
"Dec 30, 2020 19:00",0.7682,0.76847,0.76746,0.76774,-4.6,-0.06%
"Dec 30, 2020 18:00",0.76796,0.76835,0.76774,0.76819,2.3,+0.03%
"Dec 30, 2020 17:00",0.76818,0.76827,0.76761,0.76796,-2.2,-0.03%
"Dec 30, 2020 16:00",0.76836,0.76862,0.76782,0.76816,-2,-0.03%
"Dec 30, 2020 15:00",0.76738,0.76856,0.76673,0.76811,7.3,+0.10%
"Dec 30, 2020 14:00",0.76632,0.76796,0.76628,0.76738,10.6,+0.14%
"Dec 30, 2020 13:00",0.76665,0.76711,0.76623,0.76633,-3.2,-0.04%
"Dec 30, 2020 12:00",0.76659,0.76699,0.76615,0.76664,0.5,+0.01%
"Dec 30, 2020 11:00",0.7672,0.76736,0.76616,0.76659,-6.1,-0.08%
"Dec 30, 2020 10:00",0.76485,0.76741,0.76481,0.76717,23.2,+0.30%
"Dec 30, 2020 09:00",0.7649,0.76533,0.7645,0.76483,-0.7,-0.01%
"Dec 30, 2020 08:00",0.76527,0.76571,0.76459,0.76489,-3.8,-0.05%
"Dec 30, 2020 07:00",0.76543,0.76617,0.76503,0.7653,-1.3,-0.02%
"Dec 30, 2020 06:00",0.76568,0.76589,0.7648,0.76542,-2.6,-0.03%
"Dec 30, 2020 05:00",0.76558,0.76638,0.76554,0.76565,0.7,+0.01%
"Dec 30, 2020 04:00",0.76449,0.76597,0.76429,0.76558,10.9,+0.14%
"Dec 30, 2020 03:00",0.76407,0.76497,0.76405,0.76452,4.5,+0.06%
"Dec 30, 2020 02:00",0.7633,0.76421,0.76329,0.76404,7.4,+0.10%
"Dec 30, 2020 01:00",0.76176,0.76353,0.76158,0.76328,15.2,+0.20%
